"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass","sITSponsor"
"2","AIGB001.2016","11/21/2016","Application","Approved","False","False","AIGB Application Review","Devon","Existing 3rd Party and Internally Developed SharePoint Applications","11/15/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Existing 3rd Party and Internally Developed SharePoint Applications","No","0.0000","0.0000","Corporate :: Corporate Operations","Wempe, Joe"
"1","AIGB002.2016","12/1/2016","Application","Approved","False","False","AIGB Application Review","SKC Inc","DataTrac 2000 4.30","11/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Environment, Health and Safety","","Less than  25","False","","False","","","","SKC Inc | DataTrac 2000 4.30","No","0.0000","0.0000","Environment, Health and Safety","Cordeiro, Jody"
"3","AIGB003.2016","12/1/2016","Application","Approved","False","True","AIGB Application Review","Stream Services","DataStream Pro","11/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience","","Less than  25","False","","False","","","","Stream Services | DataStream Pro","No","0.0000","0.0000","Geoscience","Wilkinson, Steve"
"4","AIGB004.2016","12/1/2016","Application","Approved","True","True","AIGB Application Review","PetraMode","EZLog","11/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Less than  25","True","","False","","","","PetraMode | EZLog","No","10000","0.0000","Geoscience :: Asset Exploration","Holmes, Gary"
"5","AIGB005.2016","12/1/2016","Application","Approved","False","False","AIGB Application Review","Blue Marble","Blue Marble - Geographic Calculator & SDK","11/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Less than  25","True","","False","","","","Blue Marble | Blue Marble - Geographic Calculator & SDK","No","0.0000","0.0000","Geoscience :: Asset Exploration","Holmes, Gary"
"6","AIGB006.2016","12/1/2016","Application","Approved","False","False","AIGB Application Review","Zeiss","ZEN and ZEN Lite","11/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Not Known at this Time","True","","False","","","","Zeiss | ZEN and ZEN Lite","No","10000","0.0000","Geoscience :: Asset Exploration","Holmes, Gary"
"8","AIGB007.2016","12/15/2016","Application","Approved","False","False","AIGB Application Review","3GIG","Prospect Director","12/1/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Enterprise :: Project and Program Management :: Project Optimization","","Less than  25","False","","False","","","","3GIG | Prospect Director","No","72000","0.0000","Enterprise :: Project and Program Management","Cordeiro, Jody"
"7","AIGB008.2016","12/15/2016","Application","Approved","False","True","AIGB Application Review","Prometheus Group","Prometheus Mobile Solutions","12/1/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Asset :: Asset Management","","Greater than 50","True","","False","","","","Prometheus Group | Prometheus Mobile Solutions","No","272160","0.0000","Asset :: Asset Management","Dolezal, Greg"
"55","TGB033.2016","12/8/2016","Technology","Approved","True","False","TGB Technology Review","Citrix","Goto Assist","12/1/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Desktop Computing Management :: User Session Shadowing","","","","False","","False","","","","Citrix | Goto Assist","No","0.0000","0.0000","End User Computing :: Endpoint Computing","Cordeiro, Jody"
"53","TGB032.2016","11/10/2016","Technology","Approved","False","False","TGB Technology Review","DevExpress","WPF Controls","11/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management :: Integrated Development Environments (IDE)","","","","False","","False","","","","DevExpress | WPF Controls","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Holmes, Gary"
"21","TGB027.2016","11/10/2016","Technology","Approved","False","False","TGB Technology Review","Bridge Communications","Lync (Skype for Business) Integration for Cisco Call Manager (LICC)","11/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Voice & Data Communications","","","","False","","False","","","","Bridge Communications | Lync (Skype for Business) Integration for Cisco Call Manager (LICC)","No","0.0000","0.0000","Infrastructure :: Voice & Data Communications","Graham, Nate"
"54","TGB028.2016","11/10/2016","Technology","Approved","True","False","TGB Technology Review","Microsoft","Window Server 2016, HyperV","11/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Datacenter Computing :: Compute Virtualization :: Hypervisor Virtualization","","","","False","","False","","","","Microsoft | Window Server 2016, HyperV","No","0.0000","0.0000","Infrastructure :: Datacenter Computing","Whitley, Brad"
"26","TGB029.2016","11/10/2016","Technology","Approved","False","True","TGB Technology Review","Citrix","XenServer","11/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Application Delivery :: Desktop Presentation","","","","False","","False","","","","Citrix | XenServer","No","0.0000","0.0000","End User Computing :: Application Delivery","Whitley, Brad"
"20","TGB030.2016","11/10/2016","Technology","Approved","False","False","TGB Technology Review","Expertise Locator","Expertise Locator","11/1/2016","On-Premises Platform","","Proof of Concept/Technology","Seeking Approval","True","Information Delivery :: Content Delivery :: Search :: Search Index Management","","","","False","","False","","","","Expertise Locator | Expertise Locator","No","0.0000","0.0000","Information Delivery :: Content Delivery","Wempe, Joe"
"25","TGB031.2016","11/10/2016","Technology","Approved","True","True","TGB Technology Review","Trello","Trello","11/1/2016","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Information Delivery :: Content Delivery :: Knowledge Management :: Team & Workgroup Collaboration","","","","False","","False","","","","Trello | Trello","No","0.0000","0.0000","Information Delivery :: Content Delivery","Taylor, Stephen"
"32","TGB022.2016","10/13/2016","Technology","Approved","True","True","TGB Technology Review","HangFire.io","HangFire","10/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Framework Services :: Web Application Platform","","","","False","","False","","","","HangFire.io | HangFire","Yes","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Taylor, Stephen"
"24","TGB021.2016","10/13/2016","Technology","Approved","True","False","TGB Technology Review","SAS","SAS Deep Analytics Suite","10/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics","","","","False","","False","","","","SAS | SAS Deep Analytics Suite","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Ball, Kathy"
