"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass"
"2","AIGB001.2016","11/21/2016","Application","Approved","False","False","AIGB Application Review","Devon","Existing 3rd Party and Internally Developed SharePoint Applications","12/15/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Corporate :: Corporate Operations :: Corporate Communications","","Greater than 50","False","","False","","","","Devon | Existing 3rd Party and Internally Developed SharePoint Applications","No","0.0000","0.0000","Corporate :: Corporate Operations"
"1","AIGB002.2016","12/01/2016","Application","Approved","False","False","AIGB Application Review","SKC Inc","DataTrac 2000 4.30","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Environment, Health and Safety","","Less than  25","False","","False","","","","SKC Inc | DataTrac 2000 4.30","No","0.0000","0.0000","Environment, Health and Safety"
"3","AIGB003.2016","12/01/2016","Application","Approved","False","True","AIGB Application Review","Stream Services","DataStream Pro","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience","","Less than  25","False","","False","","","","Stream Services | DataStream Pro","No","0.0000","0.0000","Geoscience"
"4","AIGB004.2016","12/01/2016","Application","Approved","True","True","AIGB Application Review","PetraMode","EZLog","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Less than  25","True","","False","","","","PetraMode | EZLog","No","10000","0.0000","Geoscience :: Asset Exploration"
"5","AIGB005.2016","12/01/2016","Application","Approved","False","False","AIGB Application Review","Blue Marble","Blue Marble - Geographic Calculator & SDK","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Less than  25","True","","False","","","","Blue Marble | Blue Marble - Geographic Calculator & SDK","No","0.0000","0.0000","Geoscience :: Asset Exploration"
"6","AIGB006.2016","12/01/2016","Application","Approved","False","False","AIGB Application Review","Zeiss","ZEN and ZEN Lite","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration","","Not Known at this Time","True","","False","","","","Zeiss | ZEN and ZEN Lite","No","10000","0.0000","Geoscience :: Asset Exploration"
"8","AIGB007.2016","12/15/2016","Application","Approved","False","False","AIGB Application Review","3GIG","Prospect Director","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Enterprise :: Project and Program Management :: Project Optimization","","Less than  25","False","","False","","","","3GIG | Prospect Director","No","72000","0.0000","Enterprise :: Project and Program Management"
"7","AIGB008.2016","12/15/2016","Application","Approved","False","True","AIGB Application Review","Prometheus Group","Prometheus Mobile Solutions","12/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Asset :: Asset Management","","Greater than 50","True","","False","","","","Prometheus Group | Prometheus Mobile Solutions","No","272160","0.0000","Asset :: Asset Management"
"55","TGB033.2016","12/08/2016","Technology","Approved","True","False","TGB Technology Review","Citrix","Goto Assist","12/15/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Desktop Computing Management :: User Session Shadowing","","","","False","","False","","","","Citrix | Goto Assist","No","0.0000","0.0000","End User Computing :: Endpoint Computing"
"53","TGB032.2016","11/10/2016","Technology","Approved","False","False","TGB Technology Review","DevExpress","WPF Controls","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management :: Integrated Development Environments (IDE)","","","","False","","False","","","","DevExpress | WPF Controls","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
