"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems"
"259","TGB008.2018","2/1/2018","Technology","Approved","False","False"
"249","TGB009.2018","2/1/2018","Technology","Approved","True","False"
"247","TGB009.2018","2/1/2018","Technology","Approved","True","False"
"245","TGB009.2018","2/1/2018","Technology","Approved","True","False"
"244","TGB009.2018","2/1/2018","Technology","Approved","True","False"
"243","TGB009.2018","2/1/2018","Technology","Approved","True","False"
"242","TGB009.2018","2/1/2018","Technology","Approved","True","False"
"250","AIGB005.2018","1/25/2018","Application","Approved","False","False"
"240","TGB005.2018","1/25/2018","Technology","Approved","False","False"
"239","TGB006.2018","1/25/2018","Technology","Approved","False","False"
"238","TGB007.2018","1/25/2018","Technology","Approved","False","False"
"236","AIGB006.2018","1/25/2018","Integration","Approved","False","True"
"227","TGB001.2018","1/18/2018","Technology","Approved","False","False"
"228","TGB002.2018","1/18/2018","Technology","Approved","False","False"
"229","TGB003.2018","1/18/2018","Technology","Approved","False","True"
"253","TGB004.2018","1/18/2018","Technology","Approved","True","False"
"235","AIGB001.2018","1/11/2018","Application","Approved","False","False"
"234","AIGB002.2018","1/11/2018","Application","Approved","False","False"
"233","AIGB003.2018","1/11/2018","Application","Approved","False","False"
"232","AIGB004.2018","1/11/2018","Application","Approved","False","False"
"217","AIGB055.2017","12/14/2017","Application","Approved","False","False"
"218","AIGG056.2017","12/14/2017","Application","Approved","False","False"
"230","AIGB056.2017","12/14/2017","Application","Approved","False","False"
"231","AIGB057.2017","12/14/2017","Application","Approved","False","False"
"219","TGB050.2017","12/7/2017","Technology","Approved","True","False"
"226","TGB051.2017","12/7/2017","Technology","Approved","False","True"
"157","AIGB052.2017","11/30/2017","Application","Approved","False","True"
"209","AIGB053.2017","11/30/2017","Application","Approved","False","False"
"216","AIGB054.2017","11/30/2017","Application","Approved","False","False"
"224","AIGB054.2017","11/30/2017","Application","Approved","False","False"
"221","TGB047.2017","11/16/2017","Technology","Approved","False","False"
"222","TGB048.2017","11/16/2017","Technology","Approved","False","False"
"223","TGB049.2017","11/16/2017","Technology","Approved","False","False"
"154","AIGB049.2017","11/16/2017","Application","Approved","False","False"
"212","AIGB050.2017","11/16/2017","Application","Approved","False","False"
"207","AIGB051.2017","11/16/2017","Application","Approved","False","True"
"214","TGB045.2017","11/9/2017","Technology","Approved","False","True"
"215","TGB046.2017","11/9/2017","Technology","Approved","False","False"
"213","AIGB043.2017","11/2/2017","Application","Approved","False","False"
"211","AIGB044.2017","11/2/2017","Application","Approved","False","False"
"205","AIGB045.2017","11/2/2017","Application","Approved","False","False"
"204","AIGB046.2017","11/2/2017","Application","Approved","False","False"
"200","AIGB047.2017","11/2/2017","Application","Approved","False","False"
"199","AIGB048.2018","11/2/2017","Application","Approved","False","False"
"203","TGB041.2017","10/26/2017","Technology","Approved","False","False"
"206","TGB042.2017","10/26/2017","Technology","Approved","True","False"
"183","TGB037.2017","10/12/2017","Technology","Approved","False","False"
